"signatureID","GeneID","coefficients","Pvals"
"CMAP_1023",10,0.0760271,0.494949797971271
"CMAP_1023",100,-0.268228,0.212613301126927
"CMAP_1023",1000,0.144267,0.363358458749851
"CMAP_1023",10000,0.0527738,0.687869156141138
"CMAP_1023",10001,-0.118407,0.719640396051555
"CMAP_1023",10002,0.0832218,0.35627269824333
"CMAP_1023",10003,0.200551,0.146121953051749
"CMAP_1023",10004,0.0761676,0.532834593508623
"CMAP_1023",16777215,0.0548943,0.753965833095058
"CMAP_1023",10005,0.00238973,0.986089024692001
"CMAP_1023",10006,0.201814,0.13976258060357
"CMAP_1023",10007,0.534803,0.000771171181314634
"CMAP_1023",10009,0.0538377,0.711227681153706
"CMAP_1023",1001,0.15604,0.698478602035301
"CMAP_1023",10010,0.563258,0.000142351358486067
"CMAP_1023",16777215,0.130432,0.235754781738085
"CMAP_1023",16777215,-0.127624,0.364390270087152
"CMAP_1023",16777215,0.16942,0.334748317843019
"CMAP_1023",16777215,0.426625,0.00646482639403229
"CMAP_1023",16777215,-0.212899,0.22162585349862
"CMAP_1023",16777215,0.41653,0.446653612310074
"CMAP_1023",16777215,0.202128,0.122980875868887
"CMAP_1023",16777215,-0.155765,0.324972741109688
"CMAP_1023",16777215,-0.0559504,0.594312185336336
"CMAP_1023",16777215,0.576734,0.00217753136483191
"CMAP_1023",16777215,-0.409914,0.0611952016439382
"CMAP_1023",16777215,0.0881047,0.690040656155236
"CMAP_1023",16777215,-0.0486026,0.86743323084183
"CMAP_1023",16777215,-0.0142403,0.881779041255053
"CMAP_1023",16777215,-0.0702445,0.737861176788551
"CMAP_1023",16777215,-0.0804811,0.579358045754253
"CMAP_1023",16777215,0.109524,0.248560068188091
"CMAP_1023",16777215,0.229646,0.07114936138756
"CMAP_1023",16777215,0.049983,0.820146335848552
"CMAP_1023",16777215,0.09041,0.351598050123917
"CMAP_1023",16777215,0.0460082,0.71148075795726
"CMAP_1023",10013,-0.153744,0.139973647713094
"CMAP_1023",16777215,0.320003,0.21699525660188
"CMAP_1023",16777215,-0.215284,0.254658588729515
"CMAP_1023",16777215,0.205352,0.316270814659791
"CMAP_1023",16777215,-0.537444,0.0418951982024891
"CMAP_1023",16777215,0.0285424,0.774136672558484
"CMAP_1023",16777215,0.234037,0.281411012683113
"CMAP_1023",16777215,-0.107734,0.395695826637296
"CMAP_1023",16777215,0.230629,0.19841058136831
"CMAP_1023",16777215,-0.439897,0.0309109516836519
"CMAP_1023",16777215,-0.151769,0.346139148536824
"CMAP_1023",16777215,0.188033,0.160321484144803
"CMAP_1023",16777215,0.0746236,0.552120886470146
"CMAP_1023",16777215,-0.275181,0.155664939358349
"CMAP_1023",16777215,-0.0216402,0.865227572632707
"CMAP_1023",16777215,-0.166055,0.27425871464479
"CMAP_1023",16777215,0.00568375,0.962363519840841
"CMAP_1023",16777215,0.110054,0.648786248614268
"CMAP_1023",16777215,-0.0288861,0.819090962399249
"CMAP_1023",16777215,0.111569,0.363570912353965
"CMAP_1023",16777215,-0.0353187,0.756906413006536
"CMAP_1023",16777215,-0.0147577,0.880628729511826
"CMAP_1023",16777215,0.354313,0.00924940100564316
"CMAP_1023",16777215,-0.109466,0.330754071559836
"CMAP_1023",16777215,0.117349,0.294411648657909
"CMAP_1023",10014,0.39418,0.20819954854866
"CMAP_1023",10015,0.0925929,0.347021258991187
"CMAP_1023",10016,-0.574937,2.53453762553705e-05
"CMAP_1023",10017,0.164006,0.214752652796216
"CMAP_1023",10018,0.328126,0.0197306882448455
"CMAP_1023",10019,-0.0339213,0.810683320247488
"CMAP_1023",1002,0.300103,0.0799504983905202
"CMAP_1023",10020,0.443156,0.0240703544294484
"CMAP_1023",10021,-0.0206599,0.882804445776584
"CMAP_1023",10022,0.0726732,0.51180111395159
"CMAP_1023",10023,-0.0198909,0.906191021285456
"CMAP_1023",10024,-0.176085,0.134741625363994
"CMAP_1023",10025,-0.0527543,0.565448718049191
"CMAP_1023",10026,0.160244,0.206336707720285
"CMAP_1023",1003,0.119498,0.582695839682893
"CMAP_1023",10036,-0.377474,0.00764404973403796
"CMAP_1023",10038,-0.113076,0.294548073003569
"CMAP_1023",10039,0.161542,0.455857899124899
"CMAP_1023",1004,0.0883025,0.478173969351247
"CMAP_1023",10040,0.475495,0.000288009157112086
"CMAP_1023",10042,-0.175863,0.0996078884650104
"CMAP_1023",10043,0.0886167,0.616788229476946
"CMAP_1023",10045,-0.223482,0.143466102316721
"CMAP_1023",10046,-0.198427,0.196097532686319
"CMAP_1023",10047,0.266124,0.0742460809345077
"CMAP_1023",10048,0.172037,0.0862141747503586
"CMAP_1023",10049,0.0549171,0.768893200196265
"CMAP_1023",1005,-0.214502,0.619421144788573
"CMAP_1023",10050,0.183778,0.404541789062366
"CMAP_1023",10051,-0.222465,0.0110668782459879
"CMAP_1023",10052,-0.138306,0.441868667281872
"CMAP_1023",10053,-0.149172,0.25442661587577
"CMAP_1023",10054,0.0593048,0.705373956989565
"CMAP_1023",10055,0.174455,0.14782401842097
"CMAP_1023",10057,0.138738,0.306268210840484
"CMAP_1023",10058,0.00638341,0.968909287889466
"CMAP_1023",10059,-0.12846,0.14218318091361
"CMAP_1023",1006,0.336398,0.0310001147272558
"CMAP_1023",10060,-0.00932986,0.924117908604158
"CMAP_1023",10061,-0.329808,0.0297876425776472
"CMAP_1023",10062,-0.072848,0.701408914080992
"CMAP_1023",10066,-0.199517,0.408326534509104
"CMAP_1023",10067,0.0200527,0.887647032221854
"CMAP_1023",10069,-0.0901222,0.583281903746011
"CMAP_1023",1007,0.0251912,0.765365716811066
"CMAP_1023",10072,-0.122332,0.485513381526802
"CMAP_1023",10073,-0.22729,0.331820827302648
"CMAP_1023",10075,0.144449,0.241242171789612
"CMAP_1023",10076,-0.00533226,0.978756147448414
"CMAP_1023",10077,-0.192799,0.142664544241861
"CMAP_1023",10078,-0.219221,0.124828209203267
"CMAP_1023",10079,0.338339,0.176567578682927
"CMAP_1023",1008,0.139918,0.180604120639921
"CMAP_1023",10083,-0.141056,0.275484682617412
"CMAP_1023",10084,-0.254626,0.0974658744796827
"CMAP_1023",10085,-0.154755,0.398040783200598
"CMAP_1023",10086,0.568769,0.0563983818965862
"CMAP_1023",10087,0.431671,0.200371342774982
"CMAP_1023",10089,0.0509669,0.68189779013096
"CMAP_1023",1009,-0.517008,0.000111042067552262
"CMAP_1023",10090,0.162486,0.197750017772419
"CMAP_1023",10092,0.105521,0.373694074716057
"CMAP_1023",10093,-0.174079,0.340826992174296
"CMAP_1023",10095,-0.0999421,0.332105644091649
"CMAP_1023",10096,0.104566,0.304292637637214
"CMAP_1023",10097,-0.108167,0.359398550607255
"CMAP_1023",10098,-0.272415,0.643149916555935
"CMAP_1023",10099,0.0396446,0.862342391476145
